Lista de precios Comercializadora de valor agregado S.A. de C.V. (26/09/2013 15:30:00),,,,
Clave,Marca,Descripcion,Precio,Stock
CB-406,INTELLINET,"CABLE DE RED INTELLINET 0.5 MTS CAT6, UTP, AZUL",1.76,3
CB-407,MANHATTAN,"CABLE FIREWIRE MANHATTAN 800/ 400, 9-6 PINES MACHO A MACHO, 1.8 MTS, NEGRO",10.25,3
CB-408,MANHATTAN,"CABLE SATA MANHATTAN PARA DATOS HDD 94 CM, ESATA, 7 PINES MACHO A MACHO, ROJO",3.8,0
CB-410,APC,CABLE APC SMART-UPS 4FT  PARA EXTENSION DE BATERIAS SUA48 SERIES,78.93,1
CB-411,INTELLINET,"CABLE DE RED INTELLINET, 1.0 MTS, (3 PIES) CAT6, UTP GRIS",2.15,3
CB-415,MANHATTAN,"CABLE TOSLINK MANHATTAN MACHO A MACHO, 3 MTS, AZUL",12.02,3
CB-418,MANHATTAN,CABLE DE CORRIENTE MANHATTAN MON/ CPU 1.8 MTS,2.74,3
CB-419,MANHATTAN,"CABLE USB 2.0  MACHO-MICRO B MACHO DE 1.8 MTS, NEGRO CELULARES",3.8,3
CB-423,MANHATTAN,"CABLE HDMI MANHATTAN VERSION 1.3 MACHO ? MACHO, 22.5 MTS, NEGRO",119.2,3
CB-424,MANHATTAN,"CABLE VGA MANHATTAN PARA MONITOR O PROYECTOR, 20 MTS NEGRO MACHO-MACHO",46.22,3
CB-428,MANHATTAN,"CABLE CONVERTIDOR MANHATTAN DISPLAYPORT A HDMI, MACHO-MACHO, 1.8 MTS, NEGRO",21.98,3
CB-430,MANHATTAN,"CABLE HDMI MANHATTAN AJUSTABLE A 180 GRADOS, MACHO-MACHO 2.0 MTS, NEGRO",7.43,3
CB-440,TRENDNET,"CABLE TRENDNET PARA KVM PS2/2/VGA DE 6 PIES (1,83 METROS)",11.61,1
CB-445,INTELLINET,CABLE DE RED INTELLINET 7.6 MTS ( 25 PIES ) CAT 5E UTP AZUL,3.61,3
CB-460,TP LINK,CABLE TP-LINK DE EXTENSION DE ANTENA 12 METROS CONECTOR N MACHO A HEMBRA,31.54,2
CB-463,ENCORE,CABLE ENCORE HDMI  1.8 METROS,2.28,1
CB-473,MANHATTAN,CABLE MANHATTAN SVGA CON AUDIO 4.5M.,13.2,3
CB-475,MANHATTAN,"CABLE RCA MANHATTAN, AZUL 2 CONECTORES REFORZADO",6.64,3
CB-476,MANHATTAN,CABLE  30 PINES  - USB PARA  IPOD / IPHONE,8.51,3
CB-477,MANHATTAN,CABLE AV RCA-30 PINES - USB PARA IPOD / IPHONE,22.97,3
CB-478,MANHATTAN,"CABLE USB Y 30 PINES 2 EN 1, MICRO USB PARA IPOD ",11.82,3
CB-479,TP LINK,CABLE PIGTAIL TP-LINK RP-SMA MACHO Y N MACHO 3 METROS,6.21,2
CB-48,ACTECK,CABLE MONITOR VGA HD15P 1.8 MTS ACTECK ACC-HD15P,68.4,0
CB-480,MANHATTAN,"CABLE HDMI DE ALTA VELOCIDAD CON CANAL ETHERNET, M-M, BLINDADO, NEGRO, 2 M",4.78,3
CB-483,INTELLINET,CABLE DE DATOS DB25,2.44,3
CB-485,MANHATTAN,CABLE CORRIENTE CPU/MON-PARED 11.0M MANHATTAN,18.46,3
CB-486,MANHATTAN,CABLE DE AUDIO ESTeREO MANHATTAN,2.54,1
CB-488,MANHATTAN,CABLE SVGA CON AUDIO  10M MANHATTAN,31.46,3
CB-489,MANHATTAN,CABLE HDMI DE ALTA VELOCIDAD CON CANAL ETHERNET 3M MANHATTAN,8.9,1
CB-491,ACTECK,"CABLE AUXILIAR PLANO ACTECK,  DOS PUNTAS 3.5MM, 1.8 MTS",28.59,1
CB-492,ACTECK,CABLE ACTECK MICRO USB 5PIN A USB ,27.44,1
CB-493,TARGUS,CABLE USB TARGUS PARA MAC (ACC9602US),25.29,0
CB-497,MANHATTAN,CABLE HDMI DE ALTA VELOCIDAD CON CANAL ETHERNET  5M,13.18,3
CB-499,ACTECK,CABLE HDMI A MINI HDMI 19 PIN ACTECK ,71.49,1
CB-500,ACTECK,CABLE USB 3.0 AM TO USB BM,50.08,1
CB-501,ACTECK,CABLE USB A/M A MINI USB 5PIN 1.8MTS,19.85,1
CB-502,ACTECK,CABLE USB 3.0 AM TO USB BM MICRO,50.08,1
CB-503,PERFECT CHOICE,"CABLE A / B COMPUESTO PARA IPOD, IPHONE, IPAD",298.2,1
CB-505,BELKIN,CABLE RETRACTIL USB A MINI-USB BELKIN,14.36,1
CB-506,BELKIN,"CABLE OMNVW DUAL PARA KVM BELKIN SERIE PRO 3, 2 ENTRADAS PS/2 DE 1.83 MTS",29.79,1
CB-507,BELKIN,"CABLE OMNVW DUAL PARA KVM BELKIN SERIE PRO 3, 2 ENTRADAS PS/2 DE 3.05 MTS",35.49,1
CB-508,BELKIN,"CABLE OMNVW DUAL PARA KVM BELKIN SERIE PRO 3, 2 ENTRADAS USB DE 1.83 MTS",29.79,1
CB-509,BELKIN,"CABLE OMNVW DUAL PARA KVM BELKIN SERIE PRO 3, 2 ENTRADAS USB DE 3.66 MTS",38.34,1
CB-510,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH, AZUL, .91 MTS (3 PIES)",1,1
CB-511,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH, AZUL, 2.13 MTS (7 PIES)",1.13,1
CB-512,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH, NEGRO, 3.05 MTS (10 PIES)",1.43,1
CB-513,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, .91 MTS (3 PIES),",1.79,1
CB-514,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, .91 MTS (3 PIES),",1.79,1
CB-515,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 3.05 MTS (10 PIES)",2.7,1
CB-516,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 3.05 MTS (10 PIES),",2.7,1
CB-517,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 4.57 MTS (15 PIES),",3.2,1
CB-518,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 4.57 MTS (15 PIES),",3.2,1
CB-519,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 2.13 MTS (7 PIES),",2.02,1
CB-520,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 2.13 MTS (7 PIES)",2.02,1
CB-521,BELKIN,"CABLE DE RED BELKIN CAT 5E UTP, RJ45 M/M, PATCH SNAGLESS, GRIS, 2.13 MTS (7 PIES)",2.02,1
CB-522,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 3.05 MTS (10 PIES),",4.06,1
CB-523,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 3.05 MTS (10 PIES),",4.06,1
CB-524,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 4.57 MTS (15 PIES)",5.84,1
CB-525,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 4.57 MTS (15 PIES)",5.84,1
CB-526,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, .91 MTS (3 PIES)",2.58,1
CB-527,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, NEGRO, 2.13 MTS (7 PIES)",3.63,1
CB-528,BELKIN,"CABLE DE RED BELKIN CAT 6 UTP, RJ45 M/M, PATCH SNAGLESS, AZUL, 2.13 MTS (7 PIES)",3.63,1
CB-529,BELKIN,CABLE SFP+ 10 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL BELKIN 1 MT,69.2,1
CB-530,BELKIN,CABLE SFP+ 10 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL BELKIN 2 MTS,89.14,1
CB-531,BELKIN,CABLE SFP+ 10 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL BELKIN 3 MTS,96.17,1
CB-532,BELKIN,CABLE SFP+ 10 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL BELKIN 5 MTS,140.76,1
CB-533,BELKIN,CABLE SFP+ 10 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL BELKIN 10 MTS,187.67,1
CB-534,BELKIN,"CABLE QSFP+ 40 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL, BELKIN 1 MT",158.35,1
CB-535,BELKIN,"CABLE QSFP+ 40 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL, BELKIN 2 MTS",187.67,1
CB-536,BELKIN,"CABLE QSFP+ 40 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL, BELKIN 3 MTS",209.91,1
CB-537,BELKIN,"CABLE QSFP+ 40 GBASE DIRECT ATTACH PASSIVE TWIN AXIAL, BELKIN 5 MTS",259.17,1
CB-538,BELKIN,CABLE DVI MACHO - DVI MACHO (24 PINES) BELKIN 3.05 MTS,13.31,1
CB-539,BELKIN,CABLE DVI - VGA MACHO BELKIN 3.05 MTS,21.55,1
CB-540,BELKIN,CABLE DVI-D MACHO - DVI-D MACHO BELKIN 3.05 MTS,11.07,1
CB-541,BELKIN,CABLE HDMI - DVI-D MACHO BELKIN 3.05 MTS,25.34,1
CB-542,BELKIN,CABLE HDMI - DVI MACHO BELKIN 3.05 MTS,12.79,1
CB-543,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 62.5/125 1MT NARANJA,12.56,1
CB-544,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 62.5/125 3MT NARANJA,15.37,1
CB-545,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 62.5/125 5MT NARANJA,16.2,1
CB-546,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 50/125 1MT NARANJA,16.2,1
CB-547,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 50/125 1MT 10GB AQUA,22.06,1
CB-548,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 50/125 3MT NARANJA,18.3,1
CB-549,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 50/125 3MT 10GB AQUA,26.98,1
CB-550,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX MULTIMODO LC-LC 50/1255 MT NARANJA,19.76,1
CB-551,BELKIN,CABLE DE FIBRA OPTICA BELKIN DUPLEX UNIMODO LC-LC 8.3/125 3MT AMARILLO,33.95,1
CB-552,BELKIN,CABLE VGA A SVGA BELKIN 4.57 MTS,10.87,1
CB-553,BELKIN,CABLE DE PODER AC BELKIN PARA COMPUTADORA,2.95,1
CB-554,BELKIN,CABLE VGA A SVGA BELKIN 3 MTS,10.45,1
CB-555,BELKIN,CABLE USB A/B BELKIN 1.83 MTS,3.2,1
CB-556,BELKIN,CABLE USB A/B BELKIN 3 MTS,3.95,1
CB-557,BELKIN,CABLE USB A/B MICRO BELKIN 1.83 MTS,4.63,1
CB-558,BELKIN,CABLE VGA + 3.5MM BELKIN 3 MTS,12.79,1
CB-559,BELKIN,CABLE HDMI-M A HDMI-M BELKIN 3 MTS,7.01,1
CB-562,BELKIN,BOBINA CAT5 BELKIN TRENZADA 304.80 MTS (1000FT),118.02,1
CB-563,BELKIN,BOBINA CAT5 BELKIN SOLIDO 304.80 MTS (1000FT),112.71,1
CB-564,BELKIN,BOBINA CAT6 BELKIN SOLIDO 304.80 MTS (1000FT),160.45,1
CB-565,MANHATTAN,CABLE SVGA CON AUDIO 3.5 MM 3MTS NEGRO.,11.03,3
CB-567,MANHATTAN,CABLE HDMI DE ALTA VELOCIDAD CON CANAL ETHERNET MANHATTAN,62.53,1
CB-568,BTICINO,"CABLE DE RED BTICINO CAT 6A SF/UTP PATCH CORD, AMARILLO 1,5 MTS (5 PIES)",107.78,5
CB-569,BTICINO,"CABLE DE RED BTICINO CAT 5E UTP PATCH CORD, GRIS 1,5 MTS (5 PIES)",47.95,5
CB-570,BTICINO,"CABLE DE RED BTICINO CAT 6 UTP PATCH CORD, AZUL 1,5 MTS (5 PIES)",76.99,5
CB-571,BTICINO,CABLE DE RED BTICINO CAT 6A SF/UTP PATCH CORD AMARILLO 3 MTS (10 PIES),162.59,5
CB-572,BTICINO,"CABLE DE RED BTICINO CAT 5E UTP PATCH CORD, GRIS 3 MTS (10 PIES)",63.94,5
CB-573,BTICINO,"CABLE DE RED BTICINO CAT 6 UTP PATCH CORD, AZUL 3 MTS (10 PIES)",116.14,5
CB-574,BTICINO,"CABLE DE RED BTICINO CAT 5E UTP PATCH CORD, GRIS 5 MTS (16 PIES)",81.56,5
CB-575,BTICINO,"CABLE DE RED BTICINO CAT 6 UTP PATCH CORD, AZUL 5 MTS (16 PIES)",159.85,5
CB-576,BTICINO,BOBINA UTP CAT 5E BTCINO C/FORRO DE PVC CAJA 305 MTS,1266.52,5
CB-577,BTICINO,BOBINA UTP CAT 6 BTICINO C/FORRO DE PVC RIEL CON 305 MTS ,1855,5
CB-578,BTICINO,BOBINA F/UTP CAT 6A BTICINO C/FORRO DE LSZH RIEL CON 500 MTS /BLINDADO,5806.79,5
CB-581,PERFECT CHOICE,CABLE HDMI A VGA,537.25,1
CB-582,PERFECT CHOICE,"CABLE USB 3.0,A/M-MICRO B/M",172.72,1
CB-78,PERFECT CHOICE,CABLE USB 2.0 A AB 1.8 MTS,29.28,0
CB-80,PERFECT CHOICE,EXTENSION DE CABLE USB 2.0 DE 1.8 MTS.,33.47,0
CB-94,VARIOS,CABLE DE DATOS SATA 30 CM,0.58,0
CD-321,CANON,"CAMARA CANON EOS 7D,18 MP, SOLO CUERPO",18120.43,1
CD-322,CANON,"CAMARA CANON EOS 7D,18 MP, KIT LENTE 28-135 MM IS",20483.87,1
CD-392,CANON,"CAMARA CANON EOS 60D, C/LENTE 18-135MM IS,18 MP,LCD 3  MOVIL",13393.55,1
CD-436,CANON,"CAMARA CANON EOS T3I,18MP,LCD 3,VIDEO FULLHD,C/LENTE 18-55",7877.42,1
CD-485,SAMSUNG,"CAMARA DIGITAL SAMSUNG MV800,16.1 MP, PANTALLA LCD TOUCH PLEGABLE DE 3"" A 180?, ROSA",2855.51,1
CD-488,BENQ,CAMARA DIGITAL SEMIPROFESIONAL BENQ GH700 16MP LCD 3 NEGRA BAT AA,219.1,1
CD-493,CANON,"CAMARA CANON EOS T3,12.2 MP,LCD 2.7,VIDEO HD,C/LENTE 18-55 DCIII",5513.98,1
CD-502,SAMSUNG,"CAMARA DIGITAL SAMSUNG ST-200, 16 MP, 10X, WIFI, 27MM, LCD 3.0"", LILA",2479.49,1
CD-523,CANON,"CAMARA CANON POWERSHOT D20 ACUATICA,12MP, ZOOM 5X, LCD 3.0, GPS, V.FULLHD, B.LITIO, AZUL/NEGRO",3938.71,1
CD-526,CANON,"5260B009AA CANON CAMARA CANON EOS REFLEX 5D, 22 MP,LCD 3.2 MARK III CON LENTE 25-105 F4 L IS USM",49634.41,1
CD-529,CANON,"CAMARA CANON POWERSHOT G1X 14.3MP,ZOOM 4X LCD 3.0 MOVIL,MODO MANUAL Y AUTO.V.FULLHD,NEGRO",8665.59,1
CD-532,BENQ,CAMARA DIGITAL BENQ G1 NEGRA 14MP PANTALLA 3 GIRATORIA GRABA VIDEO BAT LITIO,185.39,1
CD-535,CANON,"CAMARA CANON POWERSHOT G15 12MP 5X, DIGIC 5, LCD 3.0 BAT LITIO, NEGRO ",6538.88,1
CD-539,CANON,"CAMARA CANON POWERSHOT SX50 HS 12 MP 50 X, LCD 2.8 BAT LITIO, NEGRO",6302.15,1
CD-540,CANON,"CAMARA CANON EOS M, 18MP, LCD 3 TOUCH, VIDEO FULLHD, C/LENTE EF-M22MM STM",10241.94,1
CD-541,CANON,"CAMARA CANON EOS 1 DX CUERPO ,18.1 MP, LCD 3.2, VIDEO FULL HD, DIGIC 5",78789.25,1
CD-548,SONY,"CAMARA SONY CYBERSHOT W690/16.1 MP/3.0"" LCD/10X/LITIO/PANORAMICA/VIDEO HD/MEMORIA 4GB/ROJA",2588.76,1
CD-552,CANON,"CAMARA CANON EOS REFLEX 6D, 20 MP, LCD 3.0 CON GPS, WIFI LENTE EF 24-105 MM F/4L IS USM / V. FULL HD",33088.17,0
CD-555,SONY,CAMARA SONY REFLEX SLT-A37K NEGRA 16.5MP/2.7 LCD/TELESCOPICO/LITIO/C-MOS/OBJETIVOS INTERCAM/HDMI,7060.67,1
CD-556,BENQ,CAMARA DIGITAL BENQ AE220 PLATA 16 MP LCD 2.7 ZOOM 5X BAT LITIO GRABA VIDEO ,73.03,1
CD-557,BENQ,CAMARA DIGITAL BENQ AE220 ROJA 16 MP LCD 2.7 ZOOM 5X BAT LITIO GRABA VIDEO ,73.03,1
CD-558,SAMSUNG,"CAMARA DIGITAL SAMSUNG ST-72ZZ, 16.2 MP,ZOOM 5X,VIDEO HD,PANTALLA3.0 QVGA, BLANCA",1267.7,1
CD-559,SAMSUNG,"CAMARA DIGITAL SAMSUNG WB200,14 MP, PANTALLA TOUCH  3.0 ZOOM 18X COLOR NEGRO",2323.6,1
CD-560,SAMSUNG,"CAMARA DIGITAL SAMSUNG WB30F,16.1 MP,10X 24MM, PELICULA EN HD,ULTRA SLIM,WI FI",2329.09,1
CD-561,SAMSUNG,"CAMARA DIGITAL SAMSUNG WB200,14 MP, PANTALLA TOUCH  3.0 ZOOM 18X COLOR ROJO",2323.6,1
CD-562,SAMSUNG,"CAMARA DIGITAL SAMSUNG ST-72ZZ, 16.2 MP,ZOOM 5X,VIDEO HD,PANTALLA3.0 QVGA, NEGRA",1267.54,1
CD-563,SAMSUNG,"CAMARA DIGITAL SAMSUNG EC-DV150F 16.2 MP,ZOOM 5X,VIDEO HD,PANTALLA2.7QVGA, BLANCA",2028.28,1
CD-564,SAMSUNG,"CAMARA DIGITAL SAMSUNG 16 MP, ZOOM 5X, DISPLAY 3.0, WIFI, USB 2.0, VIDEO CALIDAD HD 20 MIN",1782.02,1
CD-566,SONY,CAMARA SONY CYBER-SHOT TF1 16.1 MP/2.7 LCD/4X/LITIO/PANORAMICA 360/NEGRA+ESTUCHE,2823.6,1
CD-567,BENQ,CAMARA DIGITAL SEMIPROFESIONAL BENQ GH650 16MP LCD 3 NEGRA BAT AA,168.54,1
CD-568,SONY,CAMARA DIGITAL SONY CYBERSHOT WX80/16.1 MP/VIDEO FHD/2.7LCD/8X/PANORAMICA 360/BEAUTY EFFECT/WIFI,2588.76,1
CD-569,SONY,CAMARA DIGITAL SONY CYBERSHOT WX80/16.1 MP/VIDEO FHD/2.7LCD/8X/PANORAMICA 360/BEAUTY EFFECT/WIFI,2588.76,1
CD-570,SONY,CAMARA DIGITAL SONY CYBERSHOT W730/16.1 MP/VIDEO HD/2.7LCD/8X/PANORAMICA 360/BEAUTY EFFECT+ESTUCHE,2117.98,1
CD-571,SONY,CAMARA DIGITAL SONY CYBERSHOT W730/16.1 MP/VIDEO HD/2.7LCD/8X/PANORAMICA 360/BEAUTY EFFECT+ESTUCHE,2117.98,1
CD-572,SONY,CAMARA DIGITAL SONY CYBERSHOT W710/16.1 MP/VIDEO HD/2.7LCD/5X/PANORAMICA 360/BEAUTY EFFECT+SD 4GB,1489.89,1
CD-573,SONY,CAMARA DIGITAL SONY CYBERSHOT W710/16.1 MP/VIDEO HD/2.7LCD/5X/PANORAMICA 360/BEAUTY EFFECT+SD 4GB,1489.89,1
CD-574,SONY,CAMARA DIGITAL SONY CYBERSHOT H200 20.1 MP/VIDEO HD/3LCD/26X/PANORAMICA 360/BEAUTY EFFECT/,3138.2,1
CD-575,CANON,"CAMARA CANON POWERSHOT N, 12MP, 8X, WIFI, LEN. 28MM, LCD 2.8? TOUCH MOVIBLE, MINI SD, NEGRO",3387.1,1
CD-576,CANON,"CAMARA CANON POWERSHOT N, 12MP, 8X, WIFI, LEN. 28MM, LCD 2.8? TOUCH MOVIBLE, MINI SD, BLANCO",3387.1,1
CD-577,CANON,"CAMARA CANON POWERSHOT ELPH 130 IS, 16 MP, 8X ZOOM, LCD 3?, WIFI, ROJO",2363.44,1
CD-578,CANON,"CAMARA CANON POWERSHOT ELPH 130 IS, 16 MP, 8X ZOOM, LCD 3?, WIFI, PLATA ",2363.44,1
CD-579,CANON,"CAMARA CANON POWERSHOT ELPH 130 IS, 16 MP, 8X ZOOM, LCD 3?, WIFI, GRIS",2363.44,1
CD-580,CANON,"CAMARA CANON POWERSHOT ELPH 115 IS 16 MP, 8X ZOOM, LCD 2.7?, BAT.LITIO, ROSA",1575.27,1
CD-581,CANON,"CAMARA CANON POWERSHOT ELPH 115 IS 16 MP, 8X ZOOM, LCD 2.7?, BAT.LITIO, PLATA",1575.27,1
CD-582,CANON,"CAMARA CANON POWERSHOT ELPH 115 IS 16 MP, 8X ZOOM, LCD 2.7?, BAT.LITIO, NEGRO",1575.27,1
CD-583,CANON,"CAMARA CANON POWERSHOT ELPH 115 IS 16 MP, 8X ZOOM, LCD 2.7?, BAT.LITIO, AZUL",1575.27,1
CD-584,CANON,"CAMARA CANON POWERSHOT A2600 16MP 5X LCD 3? V. HD, BAT LITIO ROSA",1491.4,1
CD-585,CANON,"CAMARA CANON POWERSHOT A2600 16MP 5X LCD 3? V. HD, BAT LITIO ROJA",1491.4,1
CD-586,CANON,"CAMARA CANON POWERSHOT A1400 16MP, 5X , LCD 2.7? BAT.AA NEGRO ",1023.66,1
CD-587,CANON,"CAMARA CANON POWERSHOT A2600 16MP 5X LCD 3? V. HD, BAT LITIO PLATA ",1491.4,1
CD-588,CANON,"CAMARA CANON POWERSHOT A2600 16MP 5X LCD 3? V. HD, BAT LITIO NEGRO",1491.4,1
CD-589,CANON,"CAMARA CANON POWERSHOT A2600 16MP 5X LCD 3? V. HD, BAT LITIO AZUL",1491.4,1
CD-590,CANON,"CAMARA CANON POWERSHOT A2500 16MP 5X LCD 2.7? V. HD, BAT LITIO ROJO",1181.72,1
CD-591,CANON,"CAMARA CANON POWERSHOT A2500 16MP 5X LCD 2.7? V. HD, BAT LITIO NEGRO",1181.72,1
CD-592,CANON,"CAMARA CANON POWERSHOT A2500 16MP 5X LCD 2.7? V. HD, BAT LITIO PLATA",1181.72,1
CD-595,BENQ,CAMARA DIGITAL BENQ AE210 AZUL 16 MP LCD 2.7 ZOOM 5X BAT LITIO GRABA VIDEO ,57.3,1
CD-596,CANON,"CAMARA EOS T5I 18MP, LCD 3?, FULL HD, 24P/KIT LENTE 18-135 MM, DIGIC 5 ",13000,1
CD-597,CANON,"CAMARA CANON EOS REBEL SL1 18MP, LCD 3?, FULL HD, 24P/KIT LENTE 18-55 MM, DIGIC 5",10241.94,1
CD-598,BENQ,"CAMARA DIGITAL SEMIPROFESIONAL BENQ GH800, 18 MP, LCD 3, NEGRA, ZOOM 36X, BATERIA LITIO",335.96,1
CD-599,SONY,"CAMARA DIGITAL SONY CYBERSHOT WX60/16.1 MP/VIDEO FULL HD/2.7LCD/8X/PANORAMICA 360/3D+SD 4GB, ",2353.15,1
CV-139,PERFECT CHOICE,CAMARA WEB PARA LAPTOP USB (PC-320425),117.58,1
CV-179,D-LINK,CAMARA IP DE SEGURIDAD D-LINK DCS-3410 FIJA/ETHERNET/ DIA Y NOCHE + SOPORTA POE,372.58,1
CV-180,D-LINK,CAMARA IP D-LINK DCS-6110 DOME FIXED,434.83,1
CV-201,SABRENT,CAMARA WEB SABRENT USB 2.0 C/MICROFONO,5.9,1
CV-227,MANHATTAN,CAMARA WEB MANHATTAN BASICA 300K USB,7.72,99
CV-228,LOGITECH,CAMARA WEB LOGITECH HD C270,360.67,2
CV-237,INTELLINET,CAMARA IP INTELLINET NBC30 INFRARROJA PARA EXTERIORES,369.7,3
CV-244,INTELLINET,CAMARA IP INTELLINET NFC30 SERIE PROFESIONAL,165.11,3
CV-245,INTELLINET,CAMARA IP INTELLINET NFC30 SERIE PROFESIONAL INFRARROJA,190.52,3
CV-246,INTELLINET,"CAMARA DE RED NSC15 M-JPEG + MPEG4, AUDIO, 300K CMOS",96.72,3
CV-248,INTELLINET,CAMARA IP INTELLINET NSC16 MEGAPIXEL INALAMBRICA,138.74,3
CV-262,SMART CONTROL,CAMARA ESTANDAR PROF DIA/NOCHE DE ALTA RESOLUCION 600LTV,1754.39,1
CV-271,D-LINK,"CAMARA IP DE SEGURIDAD D-LINK DCS-5635 WIRELESS N PTZ ,ZOOM OPTICO 10X,3G,SLOT TARJETA SD",719.1,3
CV-275,ACTECK,CAMARA WEB ACTECK ATW-1200 ALTA DEFINICION USB,228.89,1
CV-279,ENCORE,CAMARA DE SEGURIDAD ENCORE P/TODO CLIMA Y VISION NOCTURNA,32.43,1
CV-281,D-LINK,CAMARA IP DE SEGURIDAD D-LINK DCS-930L WIRELESS N MYDLINK,56.17,1
CV-295,ENCORE,CAMARA DE SEGURIDAD ENCORE TIPO DOMO P/ INT. Y EXT. CON VISION NOCTURNA,28.04,1
CV-302,D-LINK,"CAMARA IP DE SEGURIDAD D-LINK DCS-5605N PTZ ,ZOOM OPTICO 10X,3G,SLOT TARJETA SD",617.98,1
CV-318,D-LINK,CAMARA IP DE SEGURIDAD D-LINK  DCS-932L WIRELESS N DIA Y NOCHE VISION NOCTURNA,85.39,1
CV-319,D-LINK,CAMARA IP DE SEGURIDAD D-LINK ALTA DEFINICION HD DE DIA Y DE NOCHE PARA EXTERIORES. ,389.78,1
CV-320,TP LINK,CAMARA IP TP-LINK INALAMBRICA PAN / TILT  54MBPS,181.69,2
CV-328,D-LINK,CAMARA IP DE SEGURIDAD D-LINK DCS-6511 DIA Y NOCHE HD CON DOMO A PRUEBA DE VANDALISMO + POE+SLOT SD,862.92,0
CV-330,D-LINK,CAMARA IP DE SEGURIDAD D-LINK DCS-6510 DIA Y NOCHE  CON DOMO A PRUEBA DE VANDALISMO  PTZ+ POE+SLOTSD,393.26,1
CV-332,TRENDNET,CAMARA IP TRENDNET POE MEGAPIXEL EXTERIOR DIA Y NOCHE,472.06,3
CV-335,VAMAV,"CAMARA WEB CON MICROFONO 1.3 MP, USB, CON BASE UNIVERSAL PARA MONITOR O ESCRITORIO DIGITAL ROJA",71.25,1
CV-339,MICROSOFT,CAMARA WEB MICROSOFT LIFECAM CINEMA FOR BUSINESS,553.74,2
CV-340,MICROSOFT,CAMARA WEB MICROSOFT LIFECAM STUDIO HD-3000 FOR BUSINESS,293.89,2
CV-341,MICROSOFT,CAMARA WEB MICROSOFT LIFECAM STUDIO HD-6000 FOR BUSINESS,439.81,2
CV-342,MICROSOFT,CAMARA WEB MICROSOFT LIFECAM STUDIO FOR BUSINESS,716.9,2
CV-344,SONY,CAMARA SEGURIDAD MINI  BULLET SONY POE  IP HD 720P 1.3 MEGAPIXEL,265.17,3
CV-345,SONY,CAMARA SEGURIDAD MINI DOMO SONY POE IP HD 720P 1.3 MEGAPIXEL,302.25,3
