Lista de precios Comercializadora de valor agregado S.A. de C.V. (26/09/2013 15:30:00),,,,
Clave,Marca,Descripcion,Precio,Stock
AC-1642,MANHATTAN,"CANDADO PARA LAPTOP MANHATTAN DE COMBINACION 1.8 MTS, NEGRO V2",15.93,3
AC-1644,MANHATTAN,LECTOR DE TARJETAS INT. 63 EN 1 USB 2.0 MANHATTAN NEGRO,9.75,99
AC-1648,MANHATTAN,TARJETA SONIDO MANHATTAN PCI 5 CANALES,15.16,99
AC-1649,MANHATTAN,TARJETA SERIAL MANHATTAN PCI EXPRESS 2 PUERTOS,42.69,99
,,,,
AC-1651,MANHATTAN,TARJETA FIREWIRE MANHATTAN 400 PCI EXPRESS 2 PUERTOS,50.42,5
AC-1652,MANHATTAN,"HUB USB 2.0 MANHATTAN, 4 PTOS C/FUENTE ALIMENTACION EXTERNA",12.94,3
AC-1653,MANHATTAN,MULTIPLEXOR USB MANHATTAN COMPARTE 1 DISPOSITIVO A 2 PC,31.88,99
AC-1654,MANHATTAN,MULTIPLEXOR USB MANHATTAN COMPARTE 1 DISPOSITIVO A 4 PC,43.47,3
AC-1655,MANHATTAN,"TARJETA USB MANHATTAN PCI VERSION 2.0, 4 PUERTOS",13.14,99
AC-1657,MANHATTAN,CONVERTIDOR MANHATTAN USB A VIDEO VGA RESOLUCION (2048*1280),105.18,99
AC-1658,MANHATTAN,CONVERTIDOR MANHATTAN USB A VIDEO VGA RESOLUCION (1280*1040),57.27,99
AC-1659,MANHATTAN,TARJETA SERIAL MANHATTAN PCI EXPRESS 1 PUERTO,31.49,99
AC-1660,MANHATTAN,VIDEO SPLITTER MANHATTAN 2 MONITORES A 1 PC,39.8,3
AC-1661,MANHATTAN,VIDEO SPLITTER MANHATTAN 4 MONITORES A 1 PC,54.18,99
AC-1664,MANHATTAN,"SKIN MANHATTAN PARA NOTEBOOK 15.4"" AGUA 3D",3.38,99
AC-1675,TECH ZONE,"MALETIN TECH ZONE PEARL P/IPAD O NETBOOKS DE HASTA 12"" ROJO",127.27,1
AC-1693,TRENDNET,ANTENA TRENDNET PARA INTERIOR OMNIDIRECCIONAL DE 7 DBI,21,3
AC-1698,INTELLINET,ADAPTADOR INTELLINET DE RED RJ-45 10/100 A USB V2.0,14.39,3
AC-1699,INTELLINET,CAJA BLANCA PARA PARED INTELLINET CON 4.8CM DE PROFUNDIDAD,2.02,99
AC-1700,INTELLINET,JACK INTELLINET CAT 5E DE IMPACTO AZUL,1.83,99
AC-1701,INTELLINET,JACK INTELLINET CAT5E DE IMPACTO BLANCO,1.83,99
AC-1702,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 1 SALIDA",1.25,99
AC-1705,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 2 SALIDAS",1.25,99
AC-1707,INTELLINET,INYECTOR DE CORRIENTE POE INTELLINET,34,3
AC-1721,INTELLINET,PANEL DE PARCHEO INTELLINET CAT 6 / 24 PUERTOS,34,3
AC-1727,SABRENT,"PORTA DD SABRENT 3.5""? USB2.0/SATA A IDE O SATA/SATAII",18.4,1
AC-1728,SABRENT,"PORTA DD SABRENT 2.5"" SATA/USB 2.0 ULTRA LIGHT NEGRO",5.85,1
AC-1729,BENQ,LENTES 3D BENQ PARA VIDEPROYECTORES,112.5,0
AC-1736,MANHATTAN,"LECTOR DE MEMORIAS MANHATTAN 60 EN 1, USB 2.0 NEGRO",11.49,99
AC-1754,INTELLINET,KVM INTELLINET 4 PUERTOS USB CON CABLES + AUDIO,98.81,3
AC-1755,MANHATTAN,CONVERTIDOR DE VIDEO MANHATTAN SVGA+AUDIO A HDMI,93.2,99
AC-1756,MANHATTAN,"LECTOR DE MEMORIAS MANHATTAN 24 EN 1 SD, USB 2.0",7.93,99
AC-1757,INTELLINET,JACK INTELLINET CAT5E DE IMPACTO ROJO,1.84,3
AC-1758,INTELLINET,"ORGANIZADOR HORIZONTAL DE CABLES INTELLINET 19"" 2U CON TAPA",23.38,3
AC-1759,INTELLINET,"COPLE MODULAR INTELLINET 1 A 1 8P8C, RJ45",1.06,3
AC-1766,INTELLINET,"ORGANIZADOR FRONTAL DE CABLES INTELLINET 19, 1U, C/TAPA",13.81,3
AC-1767,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 4 SALIDAS",1.25,3
AC-1768,D-LINK,KVM SWTICH USB CON 4 PTOS D-LINK,43.98,1
AC-1773,TP LINK,ANTENA TP-LINK PARA INTERIOR OMNIDIRECCIONAL 2.4 GHZ 5 DBI CONECTOR SMA MACHO,3.9,2
AC-1774,TP LINK,ANTENA TP-LINK PARA INTERIOR OMNIDIRECCIONAL 2.4 GHZ 8 DBI CONECTOR SMA MACHO,8.75,2
AC-1781,LENOVO,MALETIN LENOVO THINKPAD BUSINESS HASTA 15.6 DE CARGA SUPERIOR (43R2476) (THINKPAD & BS /VS),419.28,1
AC-1788,SABRENT,MINI HUB 4 PTS USB 2.0 CON LED SABRENT,3.11,1
AC-1815,HP,TRANSCEIVER HP X121/1G/SFP/ LC SX,334.65,1
AC-1827,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO VIRDI C/SOFTWARE P/30 USUARIOS,187.36,1
AC-1828,INGRESSIO,LECTOR BIOMETRICO INGRESSIO VIRDI USB ADICIONAL,110.89,1
AC-1830,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC2100 C/SOFTWARE P/50 USUARIOS,543.27,1
AC-1831,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC2100 ADICIONAL,396.02,0
AC-1833,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC6000 C/SOFTWARE P/50 USU,1215.82,1
AC-1834,INGRESSIO,LECTOR BIOMETRICO INGRESSIO VIRDI AC6000 ADICIONAL,910.39,1
AC-1843,INGRESSIO,INGRESSIO LECTOR BIOMETRICO DE RECONOCIMIENTO FACIAL MARCA HANVON MODELO F-710,548.84,1
AC-1844,HP,KIT DE CONVERSION HP RACK PARA ML370G6,5653.28,1
AC-1850,TRENDNET,PROBADOR DE CABLE DE RED TRENDNET,50.07,1
AC-1851,TRENDNET,PROBADOR DE TONOS E INDUCTOR AMPLIFICADO TRENDNET,47.6,1
AC-1857,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO U.R.U.4500,113.68,1
AC-1858,INGRESSIO,INGRESSIO LECTOR BIOMETRICO DE RECONOCIMIENTO FACIAL HANVON F710 C/SOFTWARE 50 USUARIOS,769.09,0
AC-1859,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO NITGEN HAMSTER,125.8,1
AC-1861,TRENDNET,CONVERTIDOR TRENDNET FIBRA SC MULTIMODO DE 100B-TX A100B-FX,56.8,3
AC-1868,ACTECK,"FUNDA ACTECK P/NOTEBOOK 10"" SLEEVE-PACK GRIS",123.16,1
AC-1869,ACTECK,"FUNDA ACTECK P/NOTEBOOK 10"" SLEEVE-PACK AZUL",123.16,1
AC-1870,ACTECK,"FUNDA ACTECK P/NOTEBOOK 10"" SLEEVE-PACK ROJO",123.16,1
AC-1877,TRENDNET,KIT PROTECTOR TRENDNET CONTRA DESCARGAS ELECTRICAS,27.92,3
AC-1879,HP,RACKMOUNT HP TFT7600 G2 1U,24943.57,3
AC-1895,TP LINK,ANTENA TP-LINK PARA EXTERIOR OMNIDIRECCIONAL 2.4GHZ 12 DBI,27.27,2
AC-1909,MANHATTAN,BASE VENTILADA MANHATTAN PARA NOTEBOOK C/POCISIONES+HUB USB,28.01,3
AC-1912,MANHATTAN,BASE VENTILADA PARA NOTBOOK CON 1 VENTILADOR + HUB USB,18.83,5
AC-1913,MANHATTAN,PORTA DD MANHATTAN 2.5 SATA / USB 2.0 NEGRO,11.68,5
AC-1914,MANHATTAN,PORTA DD MANHATTAN 2.5 SATA / USB 2.0 NEGRO DE SILICON,9.56,3
AC-1927,XEROX,ACABADORA XEROX AVANZADA CON ALIMENTADOR DE 100 HOJAS,3067.42,0
AC-1933,EC LINE,LECTOR DE BANDA MAGNETICA EC LINE EC-C202D-USB,34.26,1
AC-1934,MANHATTAN,TARJETA SERIAL MANHATTAN PCI EXPRESS 4 PUERTOS,77.17,5
AC-1941,MANHATTAN,BASE VENTILADA MANHATTAN PARA NOTEBOOK C/6 POCISIONES,18.35,3
AC-1968,PERFECT CHOICE,"FUNDA PERFECT CHOICE PARA LAPTOP 13.3"" VERDE",117.58,1
AC-1969,PERFECT CHOICE,"FUNDA PERFECT CHOICE PARA LAPTOP 13.3"" MORADO",117.58,1
AC-1973,MANHATTAN,BRAZO PLANO PORTA MONITOR MANHATTAN PARA PARED NEGRO,27.05,3
AC-1980,BENQ,ADAPTADOR BENQ USB INALAMBRICO PARA PROYECTORES,56.82,0
AC-1982,BENQ,"PANTALLA BENQ 100"" P/PROYECTOR C/SOPORTE PARA TECHO",136.36,0
AC-1983,INTELLINET,"RACK INTELLINET DE 19"" DE 2 POSTES, 26U, METAL NEGRO",83.93,3
AC-1985,INTELLINET,"PANEL PARCHEO INTELLINET CAT 5E, 12 PTOS",19.12,3
AC-1994,TRENDNET,CONVERTIDOR TRENDNET FIBRA SC MULTIMODO 1000B-T A 1000B-LX,106.05,5
AC-1997,MANHATTAN,EXTENSOR HDMI 1.2 CAT5E/CAT6,109.15,3
AC-1998,MANHATTAN,VIDEO SPLITTER MANHATTAN HDMI 2 MONITORES A 1 PC,64.61,3
AC-1999,TRENDNET,PANEL DE PARCHEO TRENDNET SIN BLINDAR CAT6 DE 48 PUERTOS,90.01,1
AC-2001,TP LINK,ANTENA TP-LINK PARA EXTERIOR OMNIDIRECCIONAL 2.4GHZ 15 DBI CONECTOR N HEMBRA,36.7,2
AC-2002,TRENDNET,HERRAMIENTA PONCHADORA TRENDENT CON TIPO 110/CUCHILLA KRONE,28.65,1
AC-2004,TP LINK,ANTENA TP-LINK PARA EXTERIOR 24DBI DIRECCIONAL 2.4-2.5GHZ 24 DBI CONECTOR N HEMBRA,35.91,2
AC-2010,SONY,LENTES 3D SONY TDG-BR250 NEGRO PARA TELEVISION SONY,634.09,0
AC-2011,INTELLINET,CHAROLA DESLIZABLE PARA GABINETE INTELLINET DE 80CM,64.61,0
AC-2013,TP LINK,PROTECTOR DE SOBRETENCION TP-LINK,13.28,2
AC-2014,TP LINK,CONVERTIDOR DE MEDIOS TP-LINK MULTI-MODO GIGA ETHERNET,46.97,2
AC-2015,MANHATTAN,EXTENSOR DE VIDEO VGA MANHATTAN POR VIA RJ-45,172.9,3
AC-2032,HP,TRANSCEIVER HP X121 1G SFP LC LX,742.5,1
AC-2063,PERFECT CHOICE,BASE VENTILADOR PARA LAPTOP AIR DESK PERFECT CHOICE,229.87,1
AC-2064,PERFECT CHOICE,HUB 4 PUERTOS USB 2.0 PERFECT CHOICE,74.45,1
AC-2066,HP,TRANSCEIVER HP X120 1G SFP LC SX,345,1
AC-2068,TP LINK,ANTENA TP-LINK PARA INTERIOR DIRECCIONAL 9DBI CONECTOR SMA MACHO,15.57,2
AC-2080,ENCORE,LECTOR MULTIMEMORIAS 40 EN 1 / SIM CARD ENCORE USB 2.0,4.67,1
AC-2082,SABRENT,LECTORA Y GRABADORA DE TARJETAS FLASH 68 EN 1 SABRENT USB2.0,3.29,1
AC-2083,SPACE,"FUNDA SPACE TIPO PIEL NEGRA, PARA LIVEPAD 7",129.23,1
AC-2093,INTELLINET,ORGANIZADOR VERTICAL INTELLINET PARA RACK 42 UNIDADES NEGRO,99.88,3
AC-2110,PERFECT CHOICE,LECTOR DE TARJETAS PERFECT CHOICE UNIVERSAL SHADE USB,109.31,1
AC-2113,PERFECT CHOICE,HUB 3 PTS USB PERFECT CHOICE CON LECTOR DE TARJETAS,102.82,1
AC-2119,INTELLINET,CHAROLA VENTILADA P/RACK 1UNIDAD 25 CM / 16 KG 2 POSTES,18.06,3
AC-2133,TP LINK,ADAPTADOR POWER OVER ETHERNET TP-LINK KIT INYECTOR-SPLITTER,18.52,2
AC-2136,COOLER MASTER,BASE ENFRIADORA COOLER MASTER HASTA 17,22.28,1
AC-2137,COOLER MASTER,BASE ENFRIADORA COOLER MASTER ERGO STAND,30.14,1
AC-2138,COOLER MASTER,BASE ENFRIADORA COOLER MASTER NOTEPAL X-LITE,11.79,1
AC-2145,INTELLINET,DISTRIBUIDOR MODULAR INTELLINET 2 X 1 RJ45 CAT 5E,4.83,3
AC-2159,MANHATTAN,PORTA DD MULTIFUNCIONAL MANHATTAN SATA+HUB+LECTOR+E-SATA,43.36,3
AC-2164,ACTECK,HUB 4 PUERTOS USB ACTECK HU520,45.72,1
AC-2167,SHARP,CHAROLA ADICIONAL DE PAPEL SHARP DE 250 HOJAS PARA  AL-2051,1551.14,0
AC-2168,D-LINK,"KVM SWITCH 2 PCS UTILIZANDO UN SOLO TECLADO, VIDEO,MOUSE",26.02,1
AC-2169,MANHATTAN,TARJETA PCI EXPRESS USB 3.0 MANHATTAN 2 PUERTOS,38.64,3
AC-2171,INTELLINET,JACK INTELLINET CAT 6 BLANCO,2.7,3
AC-2175,MANHATTAN,PROTECTOR DE PANTALLA MANHATTAN PARA IPAD,9.18,3
AC-2176,MANHATTAN,SOPORTE VENTILADO P/NOTEBOOK CON LUZ MANHATTAN,18.35,0
AC-2178,SHARP,GABINETE AUSTERO SHARP. MODELOS AL-2031/ AL-2041/ AL-2051,1559.09,0
AC-2181,INTELLINET,"PANEL DE PARCHEO INTELLINET CAT 6, 48 PUERTOS",62.68,3
AC-2182,INTELLINET,GABINETE PARA CAMARA PROFESIONAL INTELLINET,44.63,3
AC-2183,INTELLINET,JACK INTELLINET CAT 6 AZUL,2.7,3
AC-2184,INTELLINET,JACK INTELLINET CAT 6 ROJO,2.7,3
AC-2190,ACTECK,LECTOR DE MEMORIA EXTERNA ALL IN 1 USB ACR500 ACTECK,59.03,1
AC-2207,TP LINK,ANTENA TP-LINK PARA INTERIOR OMNIDIRECCIONAL 8 DBI SIN BASE,3.86,2
AC-2220,PERFECT CHOICE,BASE VENTILADOR PARA NETBOOK CON 4 PUERTOS USB PECFECT CHOICE,324.4,1
AC-2226,ACTECK,CARGADOR DE PARED (CA 120V) P/DISPOSITIVOS USB 4 P UC,126.85,0
AC-2250,HP,BATERIA DE 9 CELDAS HP PARA PORTATILES,1300.03,1
AC-2256,TP LINK,CONVERTIDOR DE MEDIOS TP-LINK MULTIMEDIA FAST ETHERNET,28.52,2
AC-2257,TP LINK,ANTENA TP-LINK PARA EXTERIORES DIRECCIONAL 14 DBI,43.64,2
AC-2265,CANON,BATERIA CANON LP-E6,1134.41,0
AC-2274,D-LINK,KVM SWITCH USB/VGD/AUDIO 2 PTOS D-LINK,27.27,1
AC-2280,TRENDNET,UNIDAD DE EXPANSION PARA ALMACENMIENTO NAS SYNOLOGY P/5 DISCOS  DUROS,688.99,3
